batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,ISURF_PAMPR
39479,PSS,EE,Demokritos,Left,21.3,21.3,8.203
39479,PSS,WW,Demokritos,Left,21.3,21.3,8.104
39547,PSS,EE,Demokritos,Left,20.5,20.5,6.598
39547,PSS,WW,Demokritos,Left,21.7,21.7,6.919
39547,PSS,EE,Demokritos,Left,22.3,22.3,7.143
39547,PSS,WW,Demokritos,Left,22.5,22.5,7.277
39547,PSS,EE,Demokritos,Left,22.8,22.8,7.409
39547,PSS,WW,Demokritos,Left,23.0,23.0,7.355
39569,2S,EE,Brown,Right,20.0,20.031,4.963
39569,2S,WW,Brown,Right,20.0,20.053,5.086
39569,2S,EE,Brown,Right,20.0,20.071,4.562
39569,2S,WW,Brown,Right,20.0,20.026,4.606
39570,2S,EE,Brown,Right,20.0,20.013,5.345
39570,2S,WW,Brown,Right,20.0,20.015,5.505
39571,2S,EE,Brown,Right,20.0,20.03,5.109
39571,2S,WW,Brown,Right,20.0,20.007,5.288
39571,2S,EE,Brown,Right,20.0,20.005,4.554
39571,2S,WW,Brown,Right,20.0,20.012,4.605
39572,2S,EE,Brown,Right,20.0,20.007,5.245
39572,2S,WW,Brown,Right,20.0,20.003,5.395
39572,2S,EE,Brown,Right,20.0,20.053,5.092
39572,2S,WW,Brown,Right,20.0,20.04,5.307
41352,2S,EE,Brown,Right,20.0,20.042,5.165
41352,2S,WW,Brown,Right,20.0,20.062,5.406
41352,2S,EE,Brown,Right,20.0,20.093,5.184
41352,2S,WW,Brown,Right,20.0,20.054,5.057
41353,2S,EE,Perugia,Left,20.0,20.0,5.06
41353,2S,WW,Perugia,Left,20.0,20.0,5.083
41353,2S,EE,Perugia,Left,20.0,20.0,5.289
41353,2S,WW,Perugia,Left,20.0,20.0,5.228
41353,2S,EE,Perugia,Left,20.0,20.0,5.094
41353,2S,WW,Perugia,Left,20.0,20.0,5.019
41353,2S,EE,Perugia,Left,20.0,20.0,5.173
41353,2S,WW,Perugia,Left,20.0,20.0,5.095
41354,2S,EE,Brown,Right,20.0,20.015,4.609
41354,2S,WW,Brown,Right,20.0,20.048,4.779
41354,2S,EE,Brown,Right,20.0,20.075,4.386
41354,2S,WW,Brown,Right,20.0,20.041,4.355
41354,2S,EE,Brown,Right,20.0,20.031,4.506
41354,2S,WW,Brown,Right,20.0,20.052,4.75
41355,2S,EE,Perugia,Left,20.0,20.0,5.757
41355,2S,WW,Perugia,Left,20.0,20.0,5.902
41355,2S,EE,Perugia,Left,20.0,20.0,5.751
41355,2S,WW,Perugia,Left,20.0,20.0,5.952
41355,2S,EE,Perugia,Left,20.0,20.0,5.534
41355,2S,WW,Perugia,Left,20.0,20.0,5.671
