batch_number,Type,Orientation,AGGREGATED_COND_DATA_SET_ID,PART_ID,PART_NAME_LABEL,RHO_KOHMCM,VD_V,CMIN_PFRD,NA,D_UM,CMINPLNR_PFRD,PART_NAME_LABEL.1,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,AC_FREQ_HZ,AC_AMPL_V,CORR_OPEN_PFRD,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34252,PSS,WW,2048041,26211,34252_002_PSS_HM_WW,3.353,268.999,1.953,2.905,331.548,-73161540000000.0,34252_002_PSS_HM_WW,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 4,3.0,10000.0,0.25,0.211,20.0,20.008,Test_HPK_VPX34252_002_PSS_HM_WW_West_South_PQC3_DiodeCV_DiodeHalf_CV_Run03_08_13_2020_12_03_15_PM.txt,Brown
34252,PSS,WW,2050498,26211,34252_002_PSS_HM_WW,3.916,230.344,2.013,2.493,321.572,640000000000.0,34252_002_PSS_HM_WW,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 4,3.0,10000.0,0.25,0.212,20.0,20.008,Test_HPK_VPX34252_002_PSS_HM_WW_West_North_PQC3_DiodeCV_DiodeHalf_CV_Run02_08_12_2020_12_12_19_PM.txt,Brown
34252,PSS,EE,2046184,26212,34252_003_PSS_HM_EE,3.712,242.984,2.024,2.624,319.943,-121916800000000.0,34252_003_PSS_HM_EE,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 1,3.0,10000.0,0.25,0.169,20.0,20.007,Test_HPK_VPX34252_003_PSS_HM_EE_East_North_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_17_2020_11_21_57_AM.txt,Brown
34252,PSS,EE,2047351,26212,34252_003_PSS_HM_EE,3.534,255.254,1.95,2.541,332.11,-52995750000000.0,34252_003_PSS_HM_EE,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 1,3.0,10000.0,0.25,0.162,20.0,20.003,Test_HPK_VPX34252_003_PSS_HM_EE_East_South_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_13_2020_05_57_39_PM.txt,Brown
34252,PSS,WW,2047090,26217,34252_003_PSS_HM_WW,3.393,265.863,2.002,2.981,323.44,640000000000.0,34252_003_PSS_HM_WW,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 2,3.0,10000.0,0.25,0.173,20.0,20.003,Test_HPK_VPX34252_003_PSS_HM_WW_West_North_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_13_2020_08_17_43_PM.txt,Brown
34252,PSS,WW,2047549,26217,34252_003_PSS_HM_WW,3.884,232.266,2.051,2.411,315.691,-196563300000000.0,34252_003_PSS_HM_WW,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 2,3.0,10000.0,0.25,0.181,20.0,20.046,Test_HPK_VPX34252_003_PSS_HM_WW_West_South_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_17_2020_01_19_31_PM.txt,Brown
34252,PSS,EE,2048035,26218,34252_004_PSS_HM_EE,3.476,259.486,1.966,2.722,329.249,-64753150000000.0,34252_004_PSS_HM_EE,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 3,3.0,10000.0,0.25,0.203,20.0,20.07,Test_HPK_VPX34252_004_PSS_HM_EE_East_North_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_17_2020_02_47_39_PM.txt,Brown
34252,PSS,EE,2050153,26218,34252_004_PSS_HM_EE,3.446,261.733,2.027,2.777,319.424,-80198850000000.0,34252_004_PSS_HM_EE,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 3,3.0,10000.0,0.25,0.199,20.0,20.05,Test_HPK_VPX34252_004_PSS_HM_EE_East_South_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_14_2020_04_30_59_PM.txt,Brown
34252,PSS,WW,2047981,26223,34252_004_PSS_HM_WW,3.349,269.333,1.955,2.817,331.201,640000000000.0,34252_004_PSS_HM_WW,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 4,3.0,10000.0,0.25,0.209,20.0,20.003,Test_HPK_VPX34252_004_PSS_HM_WW_West_North_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_14_2020_06_20_18_PM.txt,Brown
34252,PSS,WW,2049022,26223,34252_004_PSS_HM_WW,3.4,265.312,1.937,2.573,334.346,-95177540000000.0,34252_004_PSS_HM_WW,PQC3,DIODE_HALF,Not Used,Left,DiodeCV,PQC_HM_POSITION 4,3.0,10000.0,0.25,0.216,20.0,20.06,Test_HPK_VPX34252_004_PSS_HM_WW_West_South_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_17_2020_04_30_51_PM.txt,Brown
34252,PSS,EE,2049019,26236,34252_007_PSS_HM_EE,3.349,269.37,1.959,2.74,330.498,-63260560000000.0,34252_007_PSS_HM_EE,PQC3,DIODE_HALF,Not Used,Right,DiodeCV,PQC_HM_POSITION 1,3.0,10000.0,0.25,0.171,20.0,20.013,Test_HPK_VPX34252_007_PSS_HM_EE_East_South_PQC3_DiodeCV_DiodeHalf_CV_Run01_08_27_2020_06_32_06_PM.txt,Brown
