batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,VI600_NAMPRMM3
36795,2S,WW,Brown,Right,20.0,20.092,0.262
36796,2S,EE,Brown,Right,20.0,20.013,0.241
36796,2S,WW,Brown,Right,20.0,20.178,0.04854396
36796,2S,EE,Brown,Right,20.0,20.06,0.264
36796,2S,WW,Brown,Right,20.0,20.071,0.271
36796,2S,EE,Brown,Right,20.0,20.078,0.229
36796,2S,WW,Brown,Right,20.0,20.055,0.03809769
36796,2S,EE,Brown,Right,20.0,20.097,0.214
36796,2S,WW,Brown,Right,20.0,20.086,0.253
36796,2S,EE,Brown,Right,20.0,20.047,0.299
36796,2S,WW,Brown,Right,20.0,20.033,0.315
36796,2S,EE,Brown,Right,20.0,20.033,0.244
36796,2S,WW,Brown,Right,20.0,20.041,0.171
36796,2S,EE,Brown,Right,20.0,20.062,0.237
36796,2S,WW,Brown,Right,20.0,20.064,0.296
36796,2S,EE,Brown,Right,20.0,20.059,0.286
36796,2S,WW,Brown,Right,20.0,20.069,0.269
36797,2S,EE,Brown,Right,20.0,20.175,0.06594115
36797,2S,WW,Brown,Right,20.0,20.031,0.172
36797,2S,EE,Brown,Right,20.0,20.038,0.05760303
36797,2S,WW,Brown,Right,20.0,20.027,0.187
36797,2S,EE,Brown,Right,20.0,20.056,0.04659241
36797,2S,WW,Brown,Right,20.0,20.048,0.167
36797,2S,EE,Brown,Right,20.0,20.031,0.209
36797,2S,WW,Brown,Right,20.0,20.035,0.208
36797,2S,EE,Brown,Right,20.0,20.027,0.184
36797,2S,WW,Brown,Right,20.0,20.023,0.245
36797,2S,EE,Brown,Right,20.0,20.034,0.209
36797,2S,WW,Brown,Right,20.0,20.034,0.149
36797,2S,EE,Brown,Right,20.0,20.051,0.189
36797,2S,WW,Brown,Right,20.0,20.052,0.218
36797,2S,EE,Brown,Right,20.0,20.046,0.155
36797,2S,WW,Brown,Right,20.0,20.03,0.245
37087,2S,EE,Brown,Right,20.0,20.016,0.182
37087,2S,WW,Brown,Right,20.0,20.045,0.266
37087,2S,EE,Brown,Right,20.0,20.155,0.217
37087,2S,WW,Brown,Right,20.0,20.173,0.28
37087,2S,EE,Brown,Right,20.0,20.025,0.202
37087,2S,WW,Brown,Right,20.0,20.108,0.785
37087,2S,EE,Brown,Right,20.0,20.093,43.1
37087,2S,WW,Brown,Right,20.0,20.111,0.259
37087,2S,EE,Brown,Right,20.0,20.017,0.236
37087,2S,WW,Brown,Right,20.0,20.022,0.299
37087,2S,EE,Brown,Right,20.0,20.029,0.256
37087,2S,WW,Brown,Right,20.0,20.109,0.324
37087,2S,EE,Brown,Right,20.0,20.041,0.213
37087,2S,WW,Brown,Right,20.0,20.054,0.302
37087,2S,EE,Brown,Right,20.0,20.068,0.19
37087,2S,WW,Brown,Right,20.0,20.069,0.317
37088,2S,EE,Brown,Right,20.0,20.025,0.32
