batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,I600_PAMPR
35501,PSP,EE,Brown,Right,20.0,20.108,0.120701
35501,PSP,WW,Brown,Right,20.0,20.111,0.058229
35501,PSP,EE,Brown,Right,20.0,20.019,0.069465
35501,PSP,WW,Brown,Right,20.0,20.072,0.056001
35501,PSP,EE,Brown,Right,20.0,20.021,0.167542
35501,PSP,WW,Brown,Right,20.0,20.072,0.074532
35501,PSP,EE,Brown,Right,20.0,20.036,0.221924
35501,PSP,WW,Brown,Right,20.0,20.116,0.054975
35501,PSP,EE,Brown,Right,20.0,20.09,0.234104
35501,PSP,WW,Brown,Right,20.0,20.098,0.059578000000000006
35501,PSP,EE,Brown,Right,20.0,20.017,0.166378
35501,PSP,WW,Brown,Right,20.0,20.067,0.06262
35501,PSP,EE,Brown,Right,20.0,20.08,0.202053
35501,PSP,WW,Brown,Right,20.0,20.099,0.055237
36696,PSS,EE,Brown,Right,20.0,20.002,0.34522
36696,PSS,WW,Brown,Right,20.0,20.007,0.554114
36696,PSS,EE,Brown,Right,20.0,20.015,0.366558
36696,PSS,WW,Brown,Right,20.0,20.03,0.542211
36696,PSS,EE,Brown,Right,20.0,20.017,0.6004729999999999
36696,PSS,WW,Brown,Right,20.0,20.008,0.693399
36696,PSS,EE,Brown,Right,20.0,20.066,0.368199
36696,PSS,WW,Brown,Right,20.0,20.023,0.586855
36696,PSS,EE,Brown,Right,20.0,20.003,0.534976
36696,PSS,WW,Brown,Right,20.0,20.007,0.694784
36696,PSS,EE,Brown,Right,20.0,20.006,0.48846100000000003
36696,PSS,WW,Brown,Right,20.0,20.008,0.661411
36696,PSS,EE,Brown,Right,20.0,20.028,0.474888
36696,PSS,WW,Brown,Right,20.0,20.01,0.664809
36696,PSS,EE,Brown,Right,20.0,20.039,0.509597
36696,PSS,WW,Brown,Right,20.0,20.01,0.581866
36696,PSS,EE,Brown,Right,20.0,20.004,0.443743
36696,PSS,WW,Brown,Right,20.0,20.013,0.705012
36697,PSS,EE,Brown,Right,20.0,20.004,0.51203
36697,PSS,WW,Brown,Right,20.0,20.004,0.589842
36697,PSS,EE,Brown,Right,20.0,20.007,0.459121
36697,PSS,WW,Brown,Right,20.0,20.01,0.618446
36697,PSS,EE,Brown,Right,20.0,20.008,0.50163
36697,PSS,EE,Brown,Right,20.0,20.069,0.417345
36697,PSS,WW,Brown,Right,20.0,20.004,0.569276
36697,PSS,EE,Brown,Right,20.0,20.003,0.366962
36697,PSS,WW,Brown,Right,20.0,20.004,0.41645800000000005
36697,PSS,EE,Brown,Right,20.0,20.004,0.035473
36697,PSS,EE,Brown,Right,20.0,20.01,0.468724
36697,PSS,WW,Brown,Right,20.0,20.004,0.5779880000000001
36697,PSS,EE,Brown,Right,20.0,20.016,0.466673
36697,PSS,WW,Brown,Right,20.0,20.006,0.522632
36697,PSS,EE,Brown,Right,20.0,20.053,0.45458499999999996
36697,PSS,WW,Brown,Right,20.0,20.013,0.538454
36700,2S,EE,HEPHY,Left,,,0.034174
36246,2S,EE,Brown,Right,20.0,20.355,0.687948
36246,2S,WW,Brown,Right,20.0,20.411,0.5277010000000001
36246,2S,EE,Brown,Right,20.0,20.359,0.648492
36246,2S,WW,Brown,Right,20.0,20.547,0.63741
36246,2S,EE,Brown,Right,20.0,20.164,0.7048479999999999
36246,2S,WW,Brown,Right,20.0,20.105,0.633324
36246,2S,EE,Brown,Right,20.0,20.65,0.686033
36246,2S,WW,Brown,Right,20.0,20.649,0.614114
36246,2S,EE,Brown,Right,20.0,20.011,0.664321
36246,2S,WW,Brown,Right,20.0,20.034,0.643232
36246,2S,EE,Brown,Right,20.0,20.051,0.608508
36246,2S,WW,Brown,Right,20.0,20.07,0.658512
36246,2S,EE,Brown,Right,20.0,20.106,0.682078
36246,2S,WW,Brown,Right,20.0,20.08,0.618058
36246,2S,EE,Brown,Right,20.0,20.097,0.681735
36246,2S,WW,Brown,Right,20.0,20.084,0.78501
36246,2S,EE,Brown,Right,20.0,20.058,0.694699
36246,2S,WW,Brown,Right,20.0,20.068,0.710643
36706,2S,EE,Brown,Right,20.0,20.053,0.246044
36706,2S,WW,Brown,Right,20.0,20.159,0.425543
36706,2S,EE,Brown,Right,20.0,20.019,0.236677
36706,2S,WW,Brown,Right,20.0,20.054,0.274656
36706,2S,EE,Brown,Left,20.0,20.192,0.302608
36706,2S,EE,Brown,Right,20.0,20.057,0.280335
36706,2S,WW,Brown,Right,20.0,20.039,0.376861
36706,2S,EE,Brown,Right,20.0,20.05,0.07213800000000001
36706,2S,WW,Brown,Right,20.0,20.077,0.340015
36706,2S,EE,Brown,Right,20.0,20.065,0.223932
36706,2S,WW,Brown,Right,20.0,20.061,0.359907
36795,2S,EE,Brown,Right,20.0,20.054,0.400416
36795,2S,WW,Brown,Right,20.0,20.064,0.446791
36795,2S,EE,Brown,Right,20.0,20.041,0.402072
36795,2S,WW,Brown,Right,20.0,20.063,0.401864
36795,2S,EE,Brown,Right,20.0,20.083,0.368663
36795,2S,WW,Brown,Right,20.0,20.062,0.37564
36795,2S,EE,Brown,Right,20.0,20.089,0.432149
36795,2S,WW,Brown,Right,20.0,20.075,0.459869
36795,2S,EE,Brown,Right,20.0,20.042,0.506401
