batch_number,Type,TOX_NM,Location,KIND_OF_HM_SET_ID
36795,2-S,657.6139999999999,Brown,Right
36796,2-S,660.3910000000001,Brown,Right
36796,2-S,655.345,Brown,Right
36796,2-S,777.038,Brown,Right
36796,2-S,655.959,Brown,Right
36796,2-S,656.309,Brown,Right
36796,2-S,656.309,Brown,Right
36796,2-S,657.823,Brown,Right
36796,2-S,657.823,Brown,Right
36796,2-S,656.7139999999999,Brown,Right
36796,2-S,655.211,Brown,Right
36796,2-S,655.062,Brown,Right
36796,2-S,650.2,Brown,Right
36796,2-S,655.627,Brown,Right
36796,2-S,652.128,Brown,Right
36796,2-S,654.21,Brown,Right
36796,2-S,652.586,Brown,Right
36796,2-S,646.943,Brown,Right
36796,2-S,650.7919999999999,Brown,Right
36797,2-S,676.945,Brown,Right
36797,2-S,664.545,Brown,Right
36797,2-S,675.57,Brown,Right
36797,2-S,665.7360000000001,Brown,Right
36797,2-S,673.498,Brown,Right
36797,2-S,669.414,Brown,Right
36797,2-S,678.502,Brown,Right
36797,2-S,668.0830000000001,Brown,Right
36797,2-S,673.6089999999999,Brown,Right
36797,2-S,664.6089999999999,Brown,Right
36797,2-S,674.0060000000001,Brown,Right
36797,2-S,661.2689999999999,Brown,Right
36797,2-S,669.7310000000001,Brown,Right
36797,2-S,659.564,Brown,Right
36797,2-S,660.452,Brown,Right
36797,2-S,651.045,Brown,Right
36800,2-S,661.346,HEPHY,Left
36800,2-S,674.7869999999999,HEPHY,Left
36800,2-S,677.697,HEPHY,Left
36800,2-S,669.679,HEPHY,Left
36800,2-S,664.118,HEPHY,Left
36800,2-S,671.77,HEPHY,Left
36800,2-S,662.191,HEPHY,Left
36800,2-S,668.82,HEPHY,Left
36800,2-S,661.311,HEPHY,Left
36800,2-S,666.794,HEPHY,Left
36800,2-S,660.4060000000001,HEPHY,Left
36800,2-S,666.53,HEPHY,Left
36800,2-S,660.872,HEPHY,Left
36800,2-S,665.3560000000001,HEPHY,Left
36800,2-S,675.2739999999999,HEPHY,Left
36800,2-S,662.867,HEPHY,Left
36800,2-S,661.472,HEPHY,Left
36800,2-S,662.398,HEPHY,Left
36800,2-S,660.252,HEPHY,Left
36800,2-S,665.283,HEPHY,Left
36801,2-S,683.255,HEPHY,Left
36801,2-S,693.88,HEPHY,Left
36801,2-S,683.561,HEPHY,Left
36801,2-S,696.528,HEPHY,Left
36801,2-S,677.678,HEPHY,Left
36801,2-S,691.2589999999999,HEPHY,Left
36801,2-S,680.572,HEPHY,Left
36801,2-S,688.8789999999999,HEPHY,Left
36801,2-S,680.051,HEPHY,Left
36801,2-S,687.329,HEPHY,Left
36801,2-S,678.322,HEPHY,Left
36801,2-S,688.091,HEPHY,Left
36801,2-S,675.7410000000001,HEPHY,Left
36801,2-S,680.807,HEPHY,Left
36801,2-S,677.935,HEPHY,Left
36801,2-S,683.3710000000001,HEPHY,Left
36801,2-S,677.7360000000001,HEPHY,Left
36801,2-S,680.68,HEPHY,Left
36801,2-S,674.075,HEPHY,Left
36801,2-S,680.757,HEPHY,Left
36802,2-S,671.966,HEPHY,Left
36802,2-S,678.617,HEPHY,Left
36802,2-S,671.523,HEPHY,Left
36802,2-S,686.195,HEPHY,Left
36802,2-S,674.664,HEPHY,Left
36802,2-S,679.9060000000001,HEPHY,Left
36802,2-S,674.075,HEPHY,Left
36802,2-S,677.919,HEPHY,Left
36802,2-S,671.025,HEPHY,Left
36802,2-S,682.284,HEPHY,Left
36802,2-S,674.181,HEPHY,Left
36802,2-S,679.1569999999999,HEPHY,Left
36802,2-S,672.237,HEPHY,Left
36802,2-S,678.2769999999999,HEPHY,Left
36802,2-S,670.0110000000001,HEPHY,Left
36802,2-S,672.0319999999999,HEPHY,Left
36802,2-S,665.311,HEPHY,Left
36802,2-S,673.938,HEPHY,Left
36802,2-S,759.485,HEPHY,Left
36802,2-S,675.183,HEPHY,Left
36803,2-S,666.568,HEPHY,Left
36803,2-S,679.0989999999999,HEPHY,Left
36803,2-S,679.0989999999999,HEPHY,Left
36803,2-S,679.0989999999999,HEPHY,Left
36803,2-S,665.825,HEPHY,Left
36803,2-S,665.825,HEPHY,Left
36803,2-S,665.825,HEPHY,Left
36803,2-S,677.416,HEPHY,Left
36803,2-S,677.416,HEPHY,Left
36803,2-S,670.8560000000001,HEPHY,Left
36803,2-S,670.8560000000001,HEPHY,Left
36803,2-S,679.498,HEPHY,Left
36803,2-S,679.498,HEPHY,Left
36803,2-S,679.498,HEPHY,Left
36803,2-S,667.74,HEPHY,Left
36803,2-S,825.426,HEPHY,Left
36803,2-S,825.426,HEPHY,Left
36803,2-S,668.421,HEPHY,Left
36803,2-S,668.421,HEPHY,Left
36803,2-S,677.885,HEPHY,Left
36803,2-S,677.885,HEPHY,Left
36803,2-S,677.885,HEPHY,Left
36803,2-S,665.462,HEPHY,Left
36803,2-S,674.613,HEPHY,Left
36803,2-S,674.613,HEPHY,Left
36803,2-S,665.245,HEPHY,Left
36803,2-S,665.245,HEPHY,Left
36803,2-S,670.5,HEPHY,Left
36803,2-S,670.5,HEPHY,Left
