ID,KIND_OF_CONDITION_ID,KIND_OF_CONDITION,CONDITION_DATA_SET_ID,CHANNEL_ID,AGGREGATED_COND_DATA_SET_ID,KIND_OF_PART_ID,KIND_OF_PART,PART_ID,PART_BARCODE,PART_SERIAL_NUMBER,PART_NAME_LABEL,VTH_V
9376715,9160,"Tracker Halfmoon TC Parameters",823866,,823865,7400,"2S Halfmoon E",28824,34346_008_2-S_HM_EE,,34346_008_2-S_HM_EE,3.798
9334691,9160,"Tracker Halfmoon TC Parameters",821991,,821990,7400,"2S Halfmoon E",28824,34346_008_2-S_HM_EE,,34346_008_2-S_HM_EE,3.797
9334698,9160,"Tracker Halfmoon TC Parameters",822876,,822875,7420,"2S Halfmoon W",28827,34346_008_2-S_HM_WW,,34346_008_2-S_HM_WW,3.776
9334699,9160,"Tracker Halfmoon TC Parameters",822885,,822884,7420,"2S Halfmoon W",28827,34346_008_2-S_HM_WW,,34346_008_2-S_HM_WW,3.791
6309746,9160,"Tracker Halfmoon TC Parameters",409811,,409810,7420,"2S Halfmoon W",47997,35719_002_2-S_HM_WW,,35719_002_2-S_HM_WW,4.05
6309749,9160,"Tracker Halfmoon TC Parameters",410006,,410005,7400,"2S Halfmoon E",48114,35719_019_2-S_HM_EE,,35719_019_2-S_HM_EE,4.018
6309747,9160,"Tracker Halfmoon TC Parameters",409847,,409846,7420,"2S Halfmoon W",48117,35719_019_2-S_HM_WW,,35719_019_2-S_HM_WW,3.937
6309750,9160,"Tracker Halfmoon TC Parameters",410033,,410032,7400,"2S Halfmoon E",48150,35719_025_2-S_HM_EE,,35719_025_2-S_HM_EE,4.06
6309740,9160,"Tracker Halfmoon TC Parameters",409532,,409531,7420,"2S Halfmoon W",48153,35719_025_2-S_HM_WW,,35719_025_2-S_HM_WW,4.06
9376716,9160,"Tracker Halfmoon TC Parameters",823869,,823868,7400,"2S Halfmoon E",28836,34346_012_2-S_HM_EE,,34346_012_2-S_HM_EE,3.759
9334685,9160,"Tracker Halfmoon TC Parameters",821796,,821795,7400,"2S Halfmoon E",28836,34346_012_2-S_HM_EE,,34346_012_2-S_HM_EE,3.711
9334687,9160,"Tracker Halfmoon TC Parameters",821838,,821837,7420,"2S Halfmoon W",28839,34346_012_2-S_HM_WW,,34346_012_2-S_HM_WW,3.703
