batch_number,Type,Orientation,PART_ID,PART_NAME_LABEL,ISURF_PAMPR,S0_CMSEC,VFB_ACC_V,VFB_INV_V,KIND_OF_HM_FLUTE_ID,KIND_OF_HM_STRUCT_ID,KIND_OF_HM_CONFIG_ID,KIND_OF_HM_SET_ID,PROCEDURE_TYPE,EQUIPMENT,WAITING_TIME_S,TEMP_SET_DEGC,AV_TEMP_DEGC,FILE_NAME,Location
34331,2S,WW,29823,34331_008_2-S_HM_WW,6.651,1.056,-2.443,-2.179,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.051,Test_HPK_VPX34331_008_2-S_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_18_2020_06_44_00_PM.txt,Brown
34331,2S,EE,29824,34331_009_2-S_HM_EE,6.564,1.038,-2.457,-2.193,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,20.0,20.099,Test_HPK_VPX34331_009_2-S_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_18_2020_07_56_13_PM.txt,Brown
34331,2S,WW,29827,34331_009_2-S_HM_WW,6.797,1.08,-2.444,-2.197,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 4,0.01,20.0,20.034,Test_HPK_VPX34331_009_2-S_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_18_2020_09_08_39_PM.txt,Brown
34331,2S,EE,29828,34331_011_2-S_HM_EE,6.481,1.033,-2.455,-2.183,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 1,0.01,20.0,20.004,Test_HPK_VPX34331_011_2-S_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_23_2020_04_23_05_PM.txt,Brown
34331,2S,WW,29831,34331_011_2-S_HM_WW,6.92,1.101,-2.463,-2.208,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.027,Test_HPK_VPX34331_011_2-S_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_23_2020_05_35_28_PM.txt,Brown
34331,2S,EE,29832,34331_012_2-S_HM_EE,6.536,1.035,-2.481,-2.221,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,20.0,20.078,Test_HPK_VPX34331_012_2-S_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_23_2020_06_47_51_PM.txt,Brown
34331,2S,WW,29835,34331_012_2-S_HM_WW,6.779,1.079,-2.447,-2.188,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 4,0.01,20.0,20.019,Test_HPK_VPX34331_012_2-S_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_23_2020_07_59_29_PM.txt,Brown
34331,2S,EE,29836,34331_013_2-S_HM_EE,6.472,1.023,-2.462,-2.186,PQC4,GCD05,Not Used,Left,GCD,PQC_HM_POSITION 1,0.01,20.0,20.095,Test_HPK_VPX34331_013_2-S_HM_EE_East_North_PQC4_GCD_GCD05_IV_Run01_09_25_2020_11_33_14_AM.txt,Brown
34331,2S,WW,29839,34331_013_2-S_HM_WW,6.706,1.069,-2.468,-2.251,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.002,Test_HPK_VPX34331_013_2-S_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_24_2020_02_23_42_PM.txt,Brown
34331,2S,EE,29840,34331_014_2-S_HM_EE,6.486,1.034,-2.474,-2.257,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 3,0.01,20.0,20.004,Test_HPK_VPX34331_014_2-S_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_24_2020_03_35_20_PM.txt,Brown
34331,2S,WW,29843,34331_014_2-S_HM_WW,6.752,1.076,-2.448,-2.211,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 4,0.01,20.0,20.002,Test_HPK_VPX34331_014_2-S_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_24_2020_05_07_28_PM.txt,Brown
34331,2S,EE,29908,34331_031_2-S_HM_EE,5.653,0.901,-2.335,-2.085,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 1,0.01,20.0,20.003,Test_HPK_VPX34331_031_2-S_HM_EE_East_South_PQC4_GCD_GCD05_IV_Run01_09_25_2020_04_42_00_PM.txt,Brown
34331,2S,WW,29911,34331_031_2-S_HM_WW,6.018,0.959,-2.355,-2.141,PQC4,GCD05,Not Used,Right,GCD,PQC_HM_POSITION 2,0.01,20.0,20.002,Test_HPK_VPX34331_031_2-S_HM_WW_West_North_PQC4_GCD_GCD05_IV_Run01_09_25_2020_05_53_43_PM.txt,Brown
