batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,R_OHM
34254,PSS,EE,Brown,Right,20.0,20.07,14001.18
34254,PSS,EE,Brown,Right,20.0,20.07,13954.63
34254,PSS,WW,Brown,Right,20.0,20.018,13914.26
34254,PSS,WW,Brown,Right,20.0,20.017,13900.37
34254,PSS,EE,Brown,Right,20.0,20.01,14027.35
34254,PSS,EE,Brown,Right,20.0,20.009,13991.99
34254,PSS,WW,Brown,Right,20.0,20.033,14005.69
34254,PSS,WW,Brown,Right,20.0,20.032,13922.58
34254,PSS,EE,Brown,Right,20.0,20.078,14045.24
34254,PSS,EE,Brown,Right,20.0,20.08,13977.16
34254,PSS,WW,Brown,Right,20.0,20.017,13846.21
34254,PSS,WW,Brown,Right,20.0,20.019,13993.28
34254,PSS,EE,Brown,Right,20.0,20.005,14011.66
34254,PSS,EE,Brown,Right,20.0,20.003,13984.25
34254,PSS,WW,Brown,Right,20.0,20.0,14152.84
34254,PSS,WW,Brown,Right,20.0,20.0,14220.73
34254,PSS,EE,Brown,Right,20.0,20.01,14154.92
34254,PSS,EE,Brown,Right,20.0,20.008,14197.58
34254,PSS,WW,Brown,Right,20.0,20.001,14169.61
34254,PSS,WW,Brown,Right,20.0,20.004,14139.1
34254,PSS,EE,Brown,Right,20.0,19.999,14116.8
34254,PSS,EE,Brown,Right,20.0,20.001,14021.02
34254,PSS,WW,Brown,Right,20.0,20.003,13958.28
34254,PSS,WW,Brown,Right,20.0,20.005,13897.01
34254,PSS,EE,Brown,Right,20.0,20.006,13968.04
34254,PSS,EE,Brown,Right,20.0,20.005,14015.16
34254,PSS,WW,Brown,Right,20.0,20.001,14049.09
34254,PSS,WW,Brown,Right,20.0,19.999,14128.48
34254,PSS,EE,Brown,Right,20.0,20.004,14043.04
34254,PSS,EE,Brown,Right,20.0,20.235,14267.91
34254,PSS,EE,Brown,Left,20.0,20.006,14065.25
34254,PSS,WW,Brown,Right,20.0,20.002,14193.81
34254,PSS,WW,Brown,Left,20.0,20.001,14169.01
34254,PSS,EE,Brown,Right,20.0,20.01,14156.89
34254,PSS,EE,Brown,Right,20.0,20.011,14112.14
34254,PSS,WW,Brown,Right,20.0,19.976,14053.23
34254,PSS,WW,Brown,Right,20.0,19.977,14001.02
34254,PSS,EE,Brown,Right,20.0,20.0,13930.39
