batch_number,Type,Orientation,Location,KIND_OF_HM_SET_ID,TEMP_SET_DEGC,AV_TEMP_DEGC,CACC_PFRD
36239,2S,EE,HEPHY,Left,,,86.309
36239,2S,WW,HEPHY,Left,,,85.406
36239,2S,EE,HEPHY,Left,,,86.594
36239,2S,WW,HEPHY,Left,,,85.717
36239,2S,EE,HEPHY,Left,,,86.809
36239,2S,WW,HEPHY,Left,,,85.586
36239,2S,EE,HEPHY,Left,,,86.761
36239,2S,WW,HEPHY,Left,,,86.012
36240,2S,EE,HEPHY,Left,,,86.183
36240,2S,WW,HEPHY,Left,,,84.781
36240,2S,EE,HEPHY,Left,,,85.796
36240,2S,WW,HEPHY,Left,,,84.696
36240,2S,EE,HEPHY,Left,,,85.436
36240,2S,WW,HEPHY,Left,,,84.693
36240,2S,EE,HEPHY,Left,,,85.603
36240,2S,WW,HEPHY,Left,,,85.178
36240,2S,EE,HEPHY,Left,,,86.499
36240,2S,WW,HEPHY,Left,,,84.852
36240,2S,EE,HEPHY,Right,,,85.075
36240,2S,EE,HEPHY,Left,,,85.907
36240,2S,WW,HEPHY,Left,,,85.47
36240,2S,WW,HEPHY,Right,,,86.406
36240,2S,EE,HEPHY,Left,,,85.465
36240,2S,WW,HEPHY,Left,,,85.163
36240,2S,EE,HEPHY,Left,,,86.21
36240,2S,WW,HEPHY,Right,,,85.925
36240,2S,WW,HEPHY,Left,,,85.358
36240,2S,EE,HEPHY,Left,,,85.855
36240,2S,WW,HEPHY,Left,,,84.4
36240,2S,EE,HEPHY,Left,,,86.024
36240,2S,WW,HEPHY,Left,,,85.22
36240,2S,WW,HEPHY,Right,,,86.333
36241,2S,EE,HEPHY,Left,,,84.942
36241,2S,WW,HEPHY,Left,,,83.611
36241,2S,EE,HEPHY,Left,,,84.798
